item	nome	imagem	link	descricao	tema	descritores	tipo de recurso	idioma	autores	permissoes	tamanho	versão android	versao app	data revisão	ano	disciplina	
125	Palavras conectados 3	recursos\img\Mobile\Portugues\7\Palavrasconectados3.png	https://play.google.com/store/apps/details?id=com.sgg.connect3&hl=pt_BR	O aplicativo "Palavras conectados 3" tem como objetivo explorar o acervo vocabular do aluno e estimular a escrita por meio da formação de palavras.	Formação de palavras. Vocabulário.	DPII03,DPII04,DPII05,DPII19	Exercício e prática.	Português.	Second Gear Games.	Informações sobre a conexão Wi-Fi, outros.	40,29 MB.	4.0.3 ou superior.	1.0.2.	12/01/2021	7	Portugues	 
126	Trivia para todos	recursos\img\Mobile\Portugues\7\Triviaparatodos.png	https://play.google.com/store/apps/details?id=com.sgg.trivia&hl=pt_BR	O aplicativo "Trivia para todos" tem como objetivo trabalhar a ortografia por meio da formação de palavras, verificando o vocabulário e os conhecimentos de mundo do aluno.	Formação de palavras. Ortografia.	DPII03,DPII04,DPII05,DPII20	Exercício e prática.	Português.	Second Gear Games.	Informações sobre a conexão Wi-Fi, outros.	30,09 MB.	4.0.3 ou superior.	1.0.5.	12/01/2021	7	Portugues	 
127	Palavra impostor	recursos\img\Mobile\Portugues\7\Palavraimpostor.png	https://play.google.com/store/apps/details?id=com.sgg.imposter&hl=pt_BR	O aplicativo "Palavra impostor" estimula a escrita por meio da formação de palavras, contemplando o conhecimento vocabular do aluno, bem como a sua capacidade refexiva em situações-problema.	Formação de palavras. Vocabulário.	DPII03,DPII04,DPII05,DPII21	Exercício e prática.	Português.	Second Gear Games.	Informações sobre a conexão Wi-Fi, outros.	45,85 MB.	2.3.3 ou superior.	1.0.1.	12/01/2021	7	Portugues	 
128	Tipos de porquês	recursos\img\Mobile\Portugues\8\Tiposdeporques.png	https://play.google.com/store/apps/details?id=revissoft.com.porques&hl=pt_BR&gl=US	O aplicativo "Tipos de porquês" trabalha, de maneira lúdica, o emprego correto dos porquês. O recurso explica, brevemente, a diferença entre os quatro tipos de porquês, apresentando exemplos nos quais eles podem ocorrer. Disponibiliza, ainda, exercícios de fixação para que o usuário identifique a forma adequada do porquê.	Gramática. Uso dos porquês.	DPII19	Exercício e prática.	Português.	EDTEK STUDIO.	Outros (Visualizar conexões de rede, acesso total à rede, impedir modo ocioso do telefone).	14,39 MB.	5.0 ou superior.	1.2.0.2.	08/01/2021	8	Portugues	 
129	Português Coruja: Fácil e Divertido	recursos\img\Mobile\Portugues\8\Portuguescoruja.png	https://play.google.com/store/apps/details?id=br.com.heavygo.ptcoruja&hl=pt_BR&gl=US	O aplicativo "Português Coruja: Fácil e Divertido" trabalha, por meio de questões objetivas, diferentes conteúdos gramaticais, tais como: uso do hífen, paronímia, sinonímia, emprego correto de expressões ou palavras da nossa língua. Para cada questão respondida, o recurso apresenta um feedback, contextualizando o acerto ou o erro do item. 	Gramática. Semântica. Uso do hífen.	DPII03,DPII18,DPII19	Exercício e prática.	Português.	Heavy Go.	Fotos/mídia/arquivos, armazenamento, outros.	22,63 MB.	5.0 ou superior.	1.3.2002.	08/01/2021	8	Portugues	 
130	Os Porquês	recursos\img\Mobile\Portugues\8\OsPorques.png	https://play.google.com/store/apps/details?id=com.osporques.tecgus&hl=pt-BR	O aplicativo "Os Porquês" aborda as diferenças entre os tipos de porquês, explicitando as suas possibilidades de uso nas frases. O recurso apresenta um breve resumo teórico dos conceitos e, em seguida, traz exercícios de fixação para que o usuário pratique os conteúdos estudados. 	Gramática. Uso dos porquês.	DPII19	Exercício e prática.	Português.	TecGus Software e Educação.	Local, fotos/mídia/arquivos, armazenamento, informações sobre a conexão Wi-Fi, outros.	31,12 MB.	5.1 ou superior.	2000.9.11.	08/01/2021	8	Portugues	 
131	Virgulando	recursos\img\Mobile\Portugues\8\Virgulando.png	https://play.google.com/store/apps/details?id=com.wellmath.virgulando&hl=pt_BR	O aplicativo "Virgulando" aborda o estudo da vírgula e as possibilidades de uso nos diferentes contextos comunicacionais. O recurso apresenta as bases que fundamentam o emprego da vírgula e disponibiliza diferentes atividades práticas para a apropriação desse sinal de pontuação.	Gramática. Pontuação. Uso da vírgula.	DPII03,DPII17	Exercício e prática.	Português.	Mambee Lab.	Outros (Acesso total à rede).	8,56 MB.	5.1 ou superior.	1.1.0.0.	08/01/2021	8	Portugues	 
132	Vocabulando	recursos\img\Mobile\Portugues\8\Vocabulando.png	https://play.google.com/store/apps/details?id=com.astrocrow.vocabulando&hl=pt_BR	O aplicativo "Vocabulando" aborda diversos assuntos da gramática da Língua Portuguesa. Simulando um diálogo com o professor, o recurso apresenta um conjunto de perguntas e, para cada uma delas, dispõe duas opções como resposta. À medida que o aluno responde, o professor comenta, por meio de feedbacks, os temas abrangidos nas opções de respostas. 	Gramática. 	DPII03,DPII18,DPII19	Exercício e prática.	Português.	Astro Crow.	Fotos/mídia/arquivos, armazenamento, outros.	54,08 MB.	2.3.3 ou superior.	01.05.	08/01/2021	8	Portugues	 
133	O Mistério do Sr. Gratus	recursos\img\Mobile\Portugues\8\OMistériodoSr.Gratus.png	https://play.google.com/store/apps/details?id=com.storymax.gratus&hl=pt_BR&gl=US	O aplicativo "O Mistério do Sr. Gratus" é um livro digital interativo que permite ao usuário a construção de diferentes desfechos para a história. Embora a narrativa esteja centrada em temas de Ciências, o aplicativo possibilita o aprimoramento da habilidade de leitura, bem como o reconhecimento das características do gênero textual conto. Além de abordar assuntos que permeiam o cotidiano do usuário, dentre eles, a poluição do meio ambiente, os efeitos nocivos do plástico para os seres marinhos e a importância da coleta seletiva e da reciclagem, o RED conceitua, com uma linguagem simples, termos de Ciências, detalhados em uma seção extra.	Leitura. Gênero textual. Conto.	DPII06,DPII10,DPII12	Livro Digital / Animação.	Português.	StoryMax.	Outras (Receber dados da Internet, visualizar conexões de rede, acesso total à rede, controlar vibração, impedir o modo ocioso do telefone, receber dados da Internet).	121 MB.	4.0 ou superior.	1.0.23.	08/01/2021	8	Portugues	 
134	Nautilus	recursos\img\Mobile\Portugues\8\Nautilus.png	https://play.google.com/store/apps/details?id=air.com.storymax.nautilusport&hl=pt_BR&gl=US	O aplicativo "Nautilus" é um livro digital baseado na obra "Vinte mil léguas submarinas", do escritor francês Jules Verne. Com efeitos audiovisuais e telas interativas, o RED traz uma história ficcional que envolve mistério e ciência, proporcionando uma leitura engajadora, dinâmica e fluida. Em uma seção extra, o aplicativo apresenta informações sobre o autor e sua obra.	Leitura. Gênero textual. Conto.	DPII06,DPII10,DPII12	Livro Digital / Animação.	Português.	StoryMax.	Fotos/mídia/arquivos, armazenamento, informações sobre a conexão Wi-Fi, outros.	195 MB.	4.0 ou superior.	1.8.2003.	08/01/2021	8	Portugues	 
135	Ostras, de Tchéckov	recursos\img\Mobile\Portugues\8\OstrasdeTchéckov.png	https://play.google.com/store/apps/details?id=air.com.storymax.ostras&hl=pt_BR&gl=US	O aplicativo "Ostras, de Tchéckov" é um livro digital interativo baseado em um conto do escritor russo Anton Pávlovitch Tchékhov. O recurso trabalha, de maneira interdiciplinar, Literatura e Biologia, engajando o leitor em uma narrativa imersiva, cujo enredo gira em torno de um tema bastante atual: a fome. Além disso, o aplicativo apresenta, ainda, informações sobre os principais objetivos do Desenvolvimento Sustentável estabelecidos pela Organização das Nações Unidas, bem como traz curiosidades sobre o autor e sua obra. 	Leitura. Gênero textual. Conto.	DPII06,DPII10,DPII12	Livro Digital / Animação.	Português.	StoryMax.	Informações sobre a conexão Wi-Fi, armazenamento, fotos/mídia/arquivos, outros.	varia de acordo com o dispositivo.	4.0 ou superior.	0.0.3.	08/01/2021	8	Portugues	 
136	O Rei do Rio de Ouro	recursos\img\Mobile\Portugues\8\OReidoRiodeOuro.png	https://play.google.com/store/apps/details?id=air.com.storymax.riodeouro&hl=pt_BR&gl=US	O aplicativo "O Rei do Rio de Ouro" é um livro digital baseado em um conto do escritor inglês John Ruskin. Com efeitos audiovisuais nas telas, o recurso permite ao leitor uma narrativa engajadora e imersiva. Além do conto ilustrado, o aplicativo disponibiliza conteúdo extra sobre o autor e sua obra, bem como propõe atividades que abordam o uso consciente da água e a importância do saneamento básico. Assim, pode-se trabalhar, de maneira interdisciplinar, Literatura e Biologia.	Leitura. Gênero textual. Conto.	DPII06,DPII10,DPII12	Livro Digital / Animação.	Português.	StoryMax.	Outros (Acesso total à rede).	52,81 MB.	4.0 ou superior.	1.2.2000.	08/12/2020	8	Portugues	 
137	Decore as Conjunções!	recursos\img\Mobile\Portugues\9\Decoreasconjuncoes.png	https://play.google.com/store/apps/details?id=br.com.agenciastar.DecoreAsConjuncoes&hl=pt.	O aplicativo "Decore as Conjunções!" trabalha as conjunções coordenativas e subordinativas, apresentando atividades de reconhecimento e os contextos em que as conjunções ocorrem. 	Conjunções coordenativas e subordinativas.	DPII19	Exercício e prática.	Português.	Pest Apps.	Outros (Visualizar conexões de rede, acesso total à rede).	70,94 MB.	4.1 ou superior.	1.0.0c.	08/01/2021	9	Portugues	 
138	Orações Coordenadas!	recursos\img\Mobile\Portugues\9\OracoesCoordenadas.png	https://play.google.com/store/apps/details?id=livromagico.revissoft&hl=pt_BR&gl=US	O aplicativo "Orações Coordenadas!" trabalha, de maneira lúdica e interativa, as orações coordenadas assindéticas e sindéticas, apresentando as suas definições, suas características e seus tipos. Após uma breve explanação teórica do conteúdo, o recurso disponibiliza questões objetivas para que o usuário possa praticar os conceitos estudados.	Orações coordenadas sindéticas e assindéticas.	DPII19	Exercício e prática.	Português.	EDTEK STUDIO.	Outros (Visualizar conexões de rede, acesso total à rede, impedir modo ocioso do telefone).	14,02 MB.	5.0 ou superior.	1.2.0.1.	08/01/2021	9	Portugues	 
139	Literario	recursos\img\Mobile\Portugues\9\Literario.png	https://play.google.com/store/apps/details?id=br.com.apprendizado.literario3&hl=pt_BR&gl=US	O aplicativo "Literario" busca fomentar o interesse pela leitura, a partir da disponibilização de obras literárias de autores consagrados da Literatura Brasileira. O recurso traz um catálogo com alguns livros digitais que podem ser baixados pelo usuário. 	Leitura. Literatura Brasileira. 	DPII06,DPII10,DPII12	Livro Digital.	Português.	Apprendizado.	Outros (Visualizar conexões de rede, acesso total à rede, impedir modo ocioso do telefone).	14,44 MB.	5.0 ou superior.	1.2.	08/01/2021	9	Portugues	 
140	Machado de Assis Completo	recursos\img\Mobile\Portugues\9\MachadodeAssisCompleto.png	https://play.google.com/store/apps/details?id=inovapps2015.machadodeassiscompleto&hl=pt_BR&gl=US	O aplicativo "Machado de Assis Completo" traz uma coletânia das obras do escritor brasileiro Machado de Assis. Com elementos de gamificação, tais como desafios e recompensas, o recurso busca fomentar o interesse pela leitura, além de propiciar o acesso aos diferentes gêneros textuais nos quais o escritor desenvolveu as suas narrativas.  	Leitura. Literatura Brasileira. Machado de Assis.	DPII06,DPII10,DPII12	Livro Digital.	Português.	Alice Cristina.	Outras (Acesso total à rede, controlar vibração, instalar atalhos).	8,51 MB.	4.4 ou superior.	1.0.	08/12/2020	9	Portugues	 
141	Português Play	recursos\img\Mobile\Portugues\9\PortuguesPlay.png	https://play.google.com/store/apps/details?id=com.app.portugusplaya&hl=pt_BR&gl=US	O aplicativo "Português Play" apresenta um conjunto de dicas sobre Redação, Interpretação textual e Gramática, de modo a facilitar o acesso aos diferentes assuntos e contribuir com a aprendizagem do aluno. O recurso traz explanações teóricas, vídeos, podcasts e questões, em formato de quiz, que contemplam conteúdos da Língua Portuguesa, podendo ser aplicado com alunos do Ensino Fundamental e do Ensino Médio.	Gramática. Redação. Textualização.	DPII01,DPII04,DPII12,DPII18,DPII19	Hipermídia.	Português.	Professor Leo.	Contatos, local, telefone, fotos/mídia/arquivos, armazenamento, câmera, microfone, informações sobre a conexão Wi-Fi, ID do dispositivo e informações da chamada, outros.	49,70 MB.	4.4 ou superior.	1.0.	08/12/2020	9	Portugues	 
142	Alfabeto Melado - GRÁTIS	recursos\img\Mobile\Portugues\1\AlfabetoMelado.png	https://play.google.com/store/apps/details?id=air.com.martin.alfabet&hl=pt_BR	O aplicativo "Alfabeto Melado" aborda o alfabeto, contemplando o estudo sonoro e a forma de escrita das letras. O recurso propõe, ainda, atividades de reconhecimento da letra inicial de palavras com a imagem de objetos correspondentes. 	Estudo do alfabeto. Formação de palavras.	DPI01,DPI05	Exercício e prática.	Português.	Diogo Beltran.	Telefone, fotos/mídia/arquivos, armazenamento, informações sobre a conexão Wi-Fi, ID do dispositivo e informações de chamadas, outros.	71,06 MB.	2.3 ou superior.	1.1.2008.	17/04/2017	1	Portugues	
